 2018rank,City,State[c],2018estimate,2010Census,Change,2016  land  area,2016  population  density,Location , wiki_link,County,Settled,Incorporated,Type,Mayor,City,Land,Water,Elevation,Time  zone,Summer  (DST),Website,ZIP  Codes,Area  codes,Density 
 206,Coral  Springs,Florida,133507,121096,+10.25%,23.8sqmi;61.6km2,5465/sqmi;2110/km2,261615N  801533W  /  26.2707N  80.2593W  /  26.2707;  -80.2593  (Coral  Springs) ,https://en.wikipedia.org/wiki/Coral_Springs_Florida,Broward,, July  10  1963 ,Commission-Manager,,, 22.86sqmi  (59.22km2) , 1.12sqmi  (2.91km2) ,, UTC-5  (EST) , UTC-4  (EDT) ,www.CoralSprings.org,,, 5818.62/sqmi  (2246.56/km2) 
 207,Columbia,South  Carolina,133451,129272,+3.23%,133.5sqmi;345.8km2,1006/sqmi;388/km2,340145N  805353W  /  34.0291N  80.8980W  /  34.0291;  -80.8980  (Columbia) ,https://en.wikipedia.org/wiki/Columbia_South_Carolina, Richland  Lexington ,,,, Stephen  K.  Benjamin  (D) ,, 132.2sqmi  (342km2) , 2.7sqmi  (7km2)  2% ,, UTC-5  (Eastern  (EST)) , UTC-4  (EDT) ,www.columbiasc.net,,, 977.8/sqmi  (377.5/km2) 
 208,Cedar  Rapids,Iowa,133174,126326,+5.42%,70.8sqmi;183.4km2,1852/sqmi;715/km2,415801N  914040W  /  41.9670N  91.6778W  /  41.9670;  -91.6778  (Cedar  Rapids) ,https://en.wikipedia.org/wiki/Cedar_Rapids_Iowa,Linn,,1849, Home  Rule , Brad  Hart  (R) , 72.07sqmi  (186.66km2)126326 , 70.8sqmi  (183.37km2) , 1.27sqmi  (3.29km2) , 810ft  (247m) , UTC-6  (CST) , UTC-5  (CDT) ,cedar-rapids.org,,, 1800/sqmi  (680/km2) 
 209,Sterling  Heights,Michigan,132964,129699,+2.52%,36.5sqmi;94.5km2,3628/sqmi;1401/km2,423452N  830149W  /  42.5812N  83.0303W  /  42.5812;  -83.0303  (Sterling  Heights) ,https://en.wikipedia.org/wiki/Sterling_Heights_Michigan,Macomb,, 1968  (city) ,Councilmanager, Michael  C.  Taylor ,, 36.43sqmi  (94.35km2) , 0.29sqmi  (0.75km2) , 614ft  (187m) , UTC5  (Eastern  (EST)) , UTC4  (EDT) , Official  website ,,, 3640.71/sqmi  (1405.69/km2) 
 210,New  Haven,Connecticut,130418,129779,+0.49%,18.7sqmi;48.4km2,6948/sqmi;2683/km2,411839N  725530W  /  41.3108N  72.9250W  /  41.3108;  -72.9250  (New  Haven) ,https://en.wikipedia.org/wiki/New_Haven_Connecticut, New  Haven ,,, Mayorboard  of  aldermen , Toni  Harp  (D) , 20.1sqmi  (52.1km2)129779 , 18.7sqmi  (48.4km2) , 1.4sqmi  (3.7km2) , 59ft  (18m) , UTC5  (Eastern) , UTC4  (Eastern) ,www.newhavenct.gov,0650106540,, 6500/sqmi  (2500/km2) 
 211,Stamford,Connecticut,129775,122643,+5.82%,37.6sqmi;97.4km2,3434/sqmi;1326/km2,410448N  733246W  /  41.0799N  73.5460W  /  41.0799;  -73.5460  (Stamford) ,https://en.wikipedia.org/wiki/Stamford_Connecticut,Fairfield,,, Mayor-Board  of  representatives , David  Martin  (D) , 52.1sqmi  (134.9km2)122643 , 37.7sqmi  (97.9km2) , 14.3sqmi  (37.0km2) , 23ft  (7m) , UTC-5  (Eastern) , UTC-4  (Eastern) ,www.stamfordct.gov,,, 3180/sqmi  (1226/km2) 
 212,Concord,California,129688,122067,+6.24%,30.5sqmi;79.0km2,4221/sqmi;1630/km2,375820N  1220006W  /  37.9722N  122.0016W  /  37.9722;  -122.0016  (Concord) ,https://en.wikipedia.org/wiki/Concord_California, Contra  Costa ,, February  8  1905[1] , City  Council/City  Manager[2] , Carlyn  Obringer[3] ,, 30.54sqmi  (79.11km2) , 0.00sqmi  (0.00km2)  0% ,, UTC8  (Pacific) , UTC7  (PDT) , Official  website ,9451894521,, 4214.44/sqmi  (1627.21/km2) 
 213,Kent,Washington,129618,92411,+40.26%,33.7sqmi;87.3km2,3784/sqmi;1461/km2,472317N  1221246W  /  47.3880N  122.2127W  /  47.3880;  -122.2127  (Kent) ,https://en.wikipedia.org/wiki/Kent_Washington,King,, May  28  1890 , Mayor-council  government , Dana  Ralph  (Elected  November  2017) ,, 33.75sqmi  (87.41km2) , 0.67sqmi  (1.73km2) , 43-500ft  (13-152m) , UTC-8  (PST) , UTC-7  (PDT) ,kentwa.gov,,, 3806.16/sqmi  (1469.59/km2) 
 214,Santa  Clara,California,129488,116468,+11.18%,18.4sqmi;47.7km2,6845/sqmi;2643/km2,372153N  1215804W  /  37.3646N  121.9679W  /  37.3646;  -121.9679  (Santa  Clara) ,https://en.wikipedia.org/wiki/Santa_Clara_California, Santa  Clara ,, July  5  1852[1] ,Council/Manager[2],,, 18.41sqmi  (47.68km2) , 0.00sqmi  (0.00km2)  0% ,, UTC8  (Pacific) , UTC7  (PDT) ,santaclaraca.gov,,408/669, 6841.65/sqmi  (2641.59/km2) 
 215,Elizabeth,New  Jersey,128885,124969,+3.13%,12.3sqmi;31.9km2,10459/sqmi;4038/km2,403959N  741137W  /  40.6664N  74.1935W  /  40.6664;  -74.1935  (Elizabeth) ,https://en.wikipedia.org/wiki/Elizabeth_New_Jersey,Union,, March  13  1855 , Faulkner  Act  (Mayor-Council) , J.  Christian  "Chris"  Bollwage  (D  term  ends  December  31  2020)[3][4] ,, 12.319sqmi  (31.907km2) , 1.145sqmi  (2.966km2)  9.51% ,, UTC05:00  (Eastern  (EST)) , UTC04:00  (Eastern  (EDT)) ,www.elizabethnj.org, 07201    Union  Square  station07202    Bayway  station07206    Elizabethport  station07207    P.O.  Boxes07208    Elmora  station[15][16] ,, 10144.1/sqmi  (3916.7/km2) 
 216,Round  Rock,Texas,128739,99887,+28.88%,35.6sqmi;92.2km2,3396/sqmi;1311/km2,303131N  973958W  /  30.5252N  97.6660W  /  30.5252;  -97.6660  (Round  Rock) ,https://en.wikipedia.org/wiki/Round_Rock_Texas,,,,Council-Manager,,, 35.6sqmi  (92km2) , 0.3sqmi  (0.8km2) , 735ft  (224m) , UTC6  (Central  (CST)) , UTC5  (CDT) ,roundrocktexas.gov,,,
 217,Thousand  Oaks,California,127690,126683,+0.79%,55.2sqmi;143.0km2,2335/sqmi;902/km2,341136N  1185227W  /  34.1933N  118.8742W  /  34.1933;  -118.8742  (Thousand  Oaks) ,https://en.wikipedia.org/wiki/Thousand_Oaks_California,Ventura,, October  7  1964[1] ,Council/Manager[2], Andy  Fox  (R)[3][4] ,, 55.18sqmi  (142.92km2) , 0.15sqmi  (0.39km2)  0.27% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.toaks.org, 91359  91320  9136091362 ,, 2335.69/sqmi  (901.82/km2) 
 218,Lafayette[y],Louisiana,126143,120623,+4.58%,53.8sqmi;139.3km2,2372/sqmi;916/km2,301227N  920143W  /  30.2074N  92.0285W  /  30.2074;  -92.0285  (Lafayette) ,https://en.wikipedia.org/wiki/Lafayette_Louisiana,,,,,,,,,,,,,,,
 219,Athens[z],Georgia,125964,115452,+9.11%,116.4sqmi;301.5km2,1060/sqmi;410/km2,335659N  832212W  /  33.9496N  83.3701W  /  33.9496;  -83.3701  (Athens) ,https://en.wikipedia.org/wiki/Athens_Georgia,Clarke,,,, Kelly  Girtz  [1] ,, 117.8sqmi  (305.0km2) , 0.5sqmi  (1.2km2) , 636ft  (194m) , UTC5  (EST) , UTC4  (EDT) ,athensclarkecounty.com,,, 851.5/sqmi  (328.8/km2) 
 220,Topeka,Kansas,125904,127473,1.23%,61.5sqmi;159.3km2,2062/sqmi;796/km2,390205N  954146W  /  39.0347N  95.6962W  /  39.0347;  -95.6962  (Topeka) ,https://en.wikipedia.org/wiki/Topeka_Kansas,Shawnee,,1857,Council-Manager, Michelle  De  La  Isla[3] ,, 60.17sqmi  (155.84km2) , 1.30sqmi  (3.37km2) ,, UTC-6  (CST) , UTC-5  (CDT) ,topeka.org, 66601-66612  66614-66622  66624-66626  66628-66629  66636-66637  66642  66647  66652-66653  66667  66675  66683  66692  66699  [8] ,, 2100/sqmi  (800/km2) 
 221,Simi  Valley,California,125851,124237,+1.30%,41.5sqmi;107.5km2,3044/sqmi;1175/km2,341601N  1184455W  /  34.2669N  118.7485W  /  34.2669;  -118.7485  (Simi  Valley) ,https://en.wikipedia.org/wiki/Simi_Valley_California,Ventura,, October  10  1969[1] ,Council-Manager[2],,, 41.48sqmi  (107.42km2) , 0.77sqmi  (1.98km2)  1.81% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.simivalley.org, 9306293065  9309393094  93099 ,, 3045.79/sqmi  (1176.00/km2) 
 222,Fargo,North  Dakota,124844,105549,+18.28%,49.3sqmi;127.7km2,2450/sqmi;950/km2,465155N  964944W  /  46.8652N  96.8290W  /  46.8652;  -96.8290  (Fargo) ,https://en.wikipedia.org/wiki/Fargo_North_Dakota,Cass,,,, Tim  Mahoney , 48.82sqmi  (126.44km2)105549 , 48.82sqmi  (126.44km2) , 0sqmi  (0km2) , 904ft  (274m) , UTC-6  (CST) , UTC-5  (CDT) , City  of  Fargo , 58102-58109  58121-58122  58124-58126 ,, 2200/sqmi  (830/km2) 
 223,Norman,Oklahoma,123471,110925,+11.31%,178.8sqmi;463.1km2,683/sqmi;264/km2,351426N  972043W  /  35.2406N  97.3453W  /  35.2406;  -97.3453  (Norman) ,https://en.wikipedia.org/wiki/Norman_Oklahoma,Cleveland,,,Council-manager, Lynne  Miller , 189.4sqmi  (490.6km2)110925 , 178.8sqmi  (463.0km2) , 10.7sqmi  (27.6km2) , 1171ft  (357m) , UTC6  (Central  (CST)) , UTC5  (CDT) ,www.ci.norman.ok.us,,, 661.1/sqmi  (255.3/km2) 
 224,Columbia,Missouri,123180,108500,+13.53%,65.0sqmi;168.3km2,1856/sqmi;717/km2,385706N  921943W  /  38.951561N  92.328638W  /  38.951561;  -92.328638  (Columbia) ,https://en.wikipedia.org/wiki/Columbia_Missouri,Boone,1818,1826,Council-Manager, Brian  Treece[3] ,, 63.08sqmi  (163.4km2) , .42sqmi  (1.1km2) ,, UTC-6  (CST) , UTC-5  (CDT) ,www.como.gov, 65201  65202  65203  65211 ,, 1700/sqmi  (660/km2) 
 225,Abilene,Texas,122999,117063,+5.07%,106.7sqmi;276.4km2,1146/sqmi;442/km2,322716N  994417W  /  32.4545N  99.7381W  /  32.4545;  -99.7381  (Abilene) ,https://en.wikipedia.org/wiki/Abilene_Texas,,1881[1],,Council-Manager,, 112.2sqmi  (290.6km2)117463 , 106.8sqmi  (276.6km2) , 5.4sqmi  (14.0km2) , 1719ft  (527m) , UTC6  (CST) , UTC5  (CDT) ,abilenetx.com,,, 1141/sqmi  (440.7/km2) 
 226,Wilmington,North  Carolina,122607,106476,+15.15%,51.6sqmi;133.6km2,2278/sqmi;880/km2,341233N  775309W  /  34.2092N  77.8858W  /  34.2092;  -77.8858  (Wilmington) ,https://en.wikipedia.org/wiki/Wilmington_North_Carolina,,,,,,,,,,,,,,,
 227,Hartford,Connecticut,122587,124775,1.75%,17.4sqmi;45.1km2,7083/sqmi;2735/km2,414557N  724054W  /  41.7659N  72.6816W  /  41.7659;  -72.6816  (Hartford) ,https://en.wikipedia.org/wiki/Hartford_Connecticut,Hartford, October  15  1635 ,,Mayor-council, Luke  Bronin  (D) ,, 17.4sqmi  (45.0km2) , 0.7sqmi  (1.7km2) , 59ft  (18m) , UTC5  (EST) , UTC4  (EDT) ,www.hartford.gov,061xx,, 7135/sqmi  (2754.7/km2) 
 228,Victorville,California,122312,115903,+5.53%,73.3sqmi;189.8km2,1668/sqmi;644/km2,343140N  1172113W  /  34.5277N  117.3536W  /  34.5277;  -117.3536  (Victorville) ,https://en.wikipedia.org/wiki/Victorville_California, San  Bernardino ,, September  21  1962[2] ,, Gloria  Garcia[4] ,, 73.33sqmi  (189.92km2) , 0.56sqmi  (1.46km2)  0.76% ,, UTC-8  (Pacific  Time  Zone) , UTC-7  (PDT) ,www.victorvilleca.gov,,442/760[10], 1667.37/sqmi  (643.77/km2) 
 229,Pearland,Texas,122149,91252,+33.86%,46.3sqmi;119.9km2,2453/sqmi;947/km2,293321N  951923W  /  29.5558N  95.3231W  /  29.5558;  -95.3231  (Pearland) ,https://en.wikipedia.org/wiki/Pearland_Texas,,,,,,,,,,,,,,,
 230,Vallejo,California,121913,115942,+5.15%,30.7sqmi;79.5km2,3951/sqmi;1525/km2,380628N  1221550W  /  38.1079N  122.2640W  /  38.1079;  -122.2640  (Vallejo) ,https://en.wikipedia.org/wiki/Vallejo_California,Solano,, March  30  1868[1] ,Council-Manager, Bob  Sampayan[2] ,, 30.67sqmi  (79.44km2) , 18.87sqmi  (48.87km2)  38.0% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.ci.vallejo.ca.us,,, 3954.84/sqmi  (1526.95/km2) 
 231,Ann  Arbor,Michigan,121890,113934,+6.98%,28.1sqmi;72.8km2,4298/sqmi;1659/km2,421634N  834351W  /  42.2761N  83.7309W  /  42.2761;  -83.7309  (Ann  Arbor) ,https://en.wikipedia.org/wiki/Ann_Arbor_Michigan,Washtenaw,,,Council-Manager, Christopher  Taylor  (D) , 28.77sqmi  (74.52km2)113934 , 27.90sqmi  (72.27km2) , 0.87sqmi  (2.25km2) , 840ft  (256m) , UTC-5  (EST) , UTC-4  (EDT) , Official  website , 48103  48104  48105  48106  48107  48108  48109  48113 ,, 4353.55/sqmi  (1680.92/km2) 
 232,Berkeley,California,121643,112580,+8.05%,10.5sqmi;27.2km2,11547/sqmi;4458/km2,375201N  1221757W  /  37.8670N  122.2991W  /  37.8670;  -122.2991  (Berkeley) ,https://en.wikipedia.org/wiki/Berkeley_California,Alameda,, April  4  1878[1] ,Council-Manager[2], Jesse  Arregun[3] ,, 10.47sqmi  (27.11km2) , 7.23sqmi  (18.72km2)  40.83% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.cityofberkeley.info,,, 11683.28/sqmi  (4512.14/km2) 
 233,Allentown,Pennsylvania,121433,118032,+2.88%,17.5sqmi;45.3km2,6882/sqmi;2657/km2,403537N  752842W  /  40.5936N  75.4784W  /  40.5936;  -75.4784  (Allentown) ,https://en.wikipedia.org/wiki/Allentown_Pennsylvania,Lehigh,1751, March  12  1867 ,Mayor-Council, Ray  O'Connell  (D) ,, 17.55sqmi  (45.45km2) , 0.48sqmi  (1.24km2) , 338ft  (103m) , UTC5  (EST) , UTC4  (EDT) ,www.allentownpa.gov,, 610  484 , 6911.50/sqmi  (2668.50/km2) 
 234,Richardson,Texas,120981,99223,+21.93%,28.6sqmi;74.1km2,3963/sqmi;1530/km2,325820N  964229W  /  32.9723N  96.7081W  /  32.9723;  -96.7081  (Richardson) ,https://en.wikipedia.org/wiki/Richardson_Texas,,,,Council-Manager,,, 28.6sqmi  (74.0km2) , 0.08sqmi  (0.2km2) , 630ft  (192m) , UTC6  (CST) , UTC5  (CDT) ,www.cor.net,,, 3803/sqmi  (1468.2/km2) 
 235,Odessa,Texas,120568,99940,+20.64%,45.2sqmi;117.1km2,2608/sqmi;1007/km2,315302N  1022028W  /  31.8838N  102.3411W  /  31.8838;  -102.3411  (Odessa) ,https://en.wikipedia.org/wiki/Odessa_Texas,,,,Council-Manager,,, 43.9sqmi  (113.7km2) , 0.1sqmi  (0.2km2) , 2900ft  (884m) , UTC6  (CST) , UTC5  (CDT) ,www.odessa-tx.gov,,, 2277/sqmi  (879.0/km2) 
 236,Arvada,Colorado,120492,106433,+13.21%,38.6sqmi;100.0km2,3043/sqmi;1175/km2,395001N  1050901W  /  39.8337N  105.1503W  /  39.8337;  -105.1503  (Arvada) ,https://en.wikipedia.org/wiki/Arvada_Colorado,,1859[3], August  24  1904[3][4] , Home  Rule  Municipality[2] , Marc  Williams[5]  (2011-  ) ,, 38.67sqmi  (100.15km2) , 0.72sqmi  (1.87km2) , 5344ft  (1662m) , UTC7  (MST) , UTC6  (MDT) ,arvada.org,,, 3037.55/sqmi  (1172.80/km2) 
 237,Cambridge,Massachusetts,118977,105162,+13.14%,6.4sqmi;16.6km2,17289/sqmi;6675/km2,422234N  710707W  /  42.3760N  71.1187W  /  42.3760;  -71.1187  (Cambridge) ,https://en.wikipedia.org/wiki/Cambridge_Massachusetts,Middlesex,1630,1636, Council-City  Manager , Marc  C.  McGovern ,, 6.43sqmi  (16.65km2) , 0.70sqmi  (1.81km2) , 40ft  (12m) , UTC5  (Eastern) , UTC4  (Eastern) ,cambridgema.gov,,, 15000/sqmi  (5700/km2) 
 238,Sugar  Land,Texas,118600,78817,+50.48%,34.0sqmi;88.1km2,3488/sqmi;1347/km2,293558N  953651W  /  29.5994N  95.6142W  /  29.5994;  -95.6142  (Sugar  Land) ,https://en.wikipedia.org/wiki/Sugar_Land_Texas,,,,,,,,,,,,,,,
 239,Beaumont,Texas,118428,118296,+0.11%,82.1sqmi;212.6km2,1441/sqmi;556/km2,300506N  940843W  /  30.0849N  94.1453W  /  30.0849;  -94.1453  (Beaumont) ,https://en.wikipedia.org/wiki/Beaumont_Texas,Jefferson,1835,,Council-Manager,, 85.8sqmi  (222.3km2)117267 , 82.8sqmi  (214.5km2) , 3.1sqmi  (7.9km2) , 16ft  (5m) , UTC6  (CST) , UTC5  (CDT) ,beaumonttexas.gov,,, 1438/sqmi  (555.4/km2) 
 240,Lansing,Michigan,118427,114297,+3.61%,39.1sqmi;101.3km2,2967/sqmi;1146/km2,424251N  843333W  /  42.7143N  84.5593W  /  42.7143;  -84.5593  (Lansing) ,https://en.wikipedia.org/wiki/Lansing_Michigan,,1835,, Strong  Mayor-Council , Andy  Schor  (D) , 39.81sqmi  (103.11km2)114297 , 39.17sqmi  (101.45km2) , 0.64sqmi  (1.66km2) , 860ft  (262m) , UTC-5  (EST) , UTC-4  (EDT) ,www.lansingmi.gov,,, 2986.55/sqmi  (1153.12/km2) 
 241,Evansville,Indiana,117963,117429,+0.45%,47.3sqmi;122.5km2,2526/sqmi;975/km2,375916N  873205W  /  37.9877N  87.5347W  /  37.9877;  -87.5347  (Evansville) ,https://en.wikipedia.org/wiki/Evansville_Indiana,Vanderburgh,,1817,, Lloyd  Winnecke  (R) , 47.84sqmi  (123.90km2)117429 , 47.35sqmi  (122.63km2) , 0.49sqmi  (1.27km2) ,, UTC-6  (CST) , UTC-5  (CDT) , City  of  Evansville ,,, 2523.43/sqmi  (974.30/km2) 
 242,Rochester,Minnesota,116961,106769,+9.55%,54.6sqmi;141.4km2,2088/sqmi;806/km2,440055N  922838W  /  44.0154N  92.4772W  /  44.0154;  -92.4772  (Rochester) ,https://en.wikipedia.org/wiki/Rochester_Minnesota,Olmsted,,,, Kim  Norton[2]  (I) , 55.48sqmi  (143.70km2)106769 , 55.20sqmi  (142.95km2) , 0.29sqmi  (0.75km2)  0.29% , 1030ft  (401.4m) , UTC6  (CST) , UTC5  (CDT) ,www.rochestermn.gov,,, 2096.80/sqmi  (809.59/km2) 
 243,Independence,Missouri,116925,116830,+0.08%,77.8sqmi;201.5km2,1504/sqmi;581/km2,390508N  942108W  /  39.0855N  94.3521W  /  39.0855;  -94.3521  (Independence) ,https://en.wikipedia.org/wiki/Independence_Missouri,,,,, Eileen  Weir ,, 77.57sqmi  (200.91km2) , 0.68sqmi  (1.76km2) , 1033ft  (315m) , UTC6  (Central  (CST)) , UTC5  (CDT) , City  of  Independence ,,, 1500/sqmi  (580/km2) 
 244,Fairfield,California,116884,105321,+10.98%,40.9sqmi;105.9km2,2806/sqmi;1083/km2,381533N  1220156W  /  38.2593N  122.0321W  /  38.2593;  -122.0321  (Fairfield) ,https://en.wikipedia.org/wiki/Fairfield_California,Solano,, December  12  1903[1] ,Council-manager[2], Harry  T.  Price[3] ,, 40.92sqmi  (105.97km2) , 0.27sqmi  (0.70km2)  6.95% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.fairfield.ca.gov,,, 2804.67/sqmi  (1082.89/km2) 
 245,Provo,Utah,116702,112488,+3.75%,41.7sqmi;108.0km2,2803/sqmi;1082/km2,401443N  1113841W  /  40.2453N  111.6448W  /  40.2453;  -111.6448  (Provo) ,https://en.wikipedia.org/wiki/Provo_Utah,Utah,, April  1850 , Strong  mayor , Michelle  Kaufusi , 44.2sqmi  (114.4km2)117335 , 41.7sqmi  (107.9km2) , 2.5sqmi  (6.5km2) , 4551ft  (1387m) , UTC7  (Mountain  (MST)) , UTC6  (MDT) ,www.provo.org,84601-84606, 385  801 , 2700/sqmi  (1000/km2) 
 246,Clearwater,Florida,116478,107685,+8.17%,25.9sqmi;67.1km2,4415/sqmi;1705/km2,275844N  824600W  /  27.9789N  82.7666W  /  27.9789;  -82.7666  (Clearwater) ,https://en.wikipedia.org/wiki/Clearwater_Florida,,,,,,,,,,,,,,,
 247,College  Station,Texas,116218,93857,+23.82%,51.0sqmi;132.1km2,2199/sqmi;849/km2,303507N  961747W  /  30.5852N  96.2964W  /  30.5852;  -96.2964  (College  Station) ,https://en.wikipedia.org/wiki/College_Station_Texas,Brazos,,,Council-Manager, Karl  Mooney , 49.6sqmi  (128.5km2)121321 , 49.5sqmi  (128.1km2) , 0.2sqmi  (0.5km2) , 338ft  (103m) , UTC-6  (CST) , UTC-5  (CDT) ,www.cstx.gov,,, 1978/sqmi  (763.7/km2) 
 248,West  Jordan,Utah,116046,103712,+11.89%,32.3sqmi;83.7km2,3520/sqmi;1360/km2,403609N  1120003W  /  40.6024N  112.0008W  /  40.6024;  -112.0008  (West  Jordan) ,https://en.wikipedia.org/wiki/West_Jordan_Utah, Salt  Lake ,1848,1947,,,, 30.9sqmi  (80.0km2) , 0.0sqmi  (0.0km2) , 4373ft  (1333m) , UTC7  (Mountain  (MST)) , UTC6  (MDT) ,www.westjordan.utah.gov,,, 3356.37/sqmi  (1296.4/km2) 
 249,Carlsbad,California,115877,105328,+10.02%,37.7sqmi;97.6km2,3023/sqmi;1167/km2,330726N  1171658W  /  33.1239N  117.2828W  /  33.1239;  -117.2828  (Carlsbad) ,https://en.wikipedia.org/wiki/Carlsbad_California, San  Diego ,, July  16  1952[1] ,Councilmanager[2], Carl  Armstrong-Champ ,, 37.74sqmi  (97.74km2) , 1.38sqmi  (3.57km2)  3.55% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.carlsbadca.gov,,442/760, 3055.91/sqmi  (1179.97/km2) 
 250,El  Monte,California,115586,113475,+1.86%,9.6sqmi;24.9km2,12063/sqmi;4658/km2,340429N  1180145W  /  34.0746N  118.0291W  /  34.0746;  -118.0291  (El  Monte) ,https://en.wikipedia.org/wiki/El_Monte_California, Los  Angeles ,, November  18  1912[1] ,Council-Manager, Andre  Quintero[2] ,, 9.56sqmi  (24.77km2) , 0.09sqmi  (0.22km2)  0.89% ,, UTC8  (Pacific) , UTC7  (PDT) ,ci.el-monte.ca.us,9173191735,, 12111.17/sqmi  (4675.97/km2) 
 251,Murrieta,California,114985,103466,+11.13%,33.6sqmi;87.0km2,3324/sqmi;1283/km2,333420N  1171125W  /  33.5721N  117.1904W  /  33.5721;  -117.1904  (Murrieta) ,https://en.wikipedia.org/wiki/Murrieta_California,Riverside,, July  1  1991[2] ,Councilmanager[3],,, 33.60sqmi  (87.02km2) , 0.04sqmi  (0.09km2)  0.11% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.murrieta.org,,, 3422.17/sqmi  (1321.36/km2) 
 252,Temecula,California,114742,100097,+14.63%,37.3sqmi;96.6km2,3031/sqmi;1170/km2,332935N  1170754W  /  33.4931N  117.1317W  /  33.4931;  -117.1317  (Temecula) ,https://en.wikipedia.org/wiki/Temecula_California,Riverside,, December  1  1989[1] ,,,, 37.27sqmi  (96.52km2) , 0.01sqmi  (0.03km2)  0.05% ,, UTC8  (Pacific) , UTC7  (PDT) ,temeculaca.gov,9258992593,, 3036.79/sqmi  (1172.62/km2) 
 253,Springfield,Illinois,114694,116250,1.34%,60.1sqmi;155.7km2,1925/sqmi;743/km2,394728N  893841W  /  39.7911N  89.6446W  /  39.7911;  -89.6446  (Springfield) ,https://en.wikipedia.org/wiki/Springfield_Illinois,Sangamon,,,, Jim  Langfelder  (D) ,, 60.09sqmi  (155.64km2) , 6.28sqmi  (16.27km2) , 558ft  (170m) , UTC6  (CST) , UTC5  (CDT) ,www.springfield.il.us,,, 1925.63/sqmi  (743.49/km2) 
 254,Palm  Bay,Florida,114194,103190,+10.66%,65.7sqmi;170.2km2,1676/sqmi;647/km2,275908N  803945W  /  27.9856N  80.6626W  /  27.9856;  -80.6626  (Palm  Bay) ,https://en.wikipedia.org/wiki/Palm_Bay_Florida,Brevard,,,Council-Manager, William  Capote , 68.86sqmi  (178.34km2)103190 , 65.72sqmi  (170.22km2) , 3.14sqmi  (8.12km2)  4.56% , 19ft  (5m) , UTC5  (Eastern  (EST)) , UTC4  (EDT) ,www.PalmBayFlorida.org,,, 1675.30/sqmi  (646.84/km2) 
 255,Costa  Mesa,California,113615,109960,+3.32%,15.7sqmi;40.7km2,7186/sqmi;2775/km2,333957N  1175444W  /  33.6659N  117.9123W  /  33.6659;  -117.9123  (Costa  Mesa) ,https://en.wikipedia.org/wiki/Costa_Mesa_California,,,,,,,,,,,,,,,
 256,Westminster,Colorado,113479,106114,+6.94%,31.7sqmi;82.1km2,3592/sqmi;1387/km2,395256N  1050352W  /  39.8822N  105.0644W  /  39.8822;  -105.0644  (Westminster) ,https://en.wikipedia.org/wiki/Westminster_Colorado,,1859, May  24  1911[2]  as  the  Town  of  Westminster , Home  Rule  Municipality[1] , Herb  Atchison ,, 31.73sqmi  (82.18km2) , 2.32sqmi  (6.01km2) ,, UTC7  (MST) , UTC6  (MDT) ,www.cityofwestminster.us,,, 3588.99/sqmi  (1385.74/km2) 
 257,North  Charleston,South  Carolina,113237,97471,+16.18%,73.7sqmi;190.9km2,1483/sqmi;573/km2,325504N  800354W  /  32.9178N  80.0650W  /  32.9178;  -80.0650  (North  Charleston) ,https://en.wikipedia.org/wiki/North_Charleston_South_Carolina,,,, Mayor-council  government , R.  Keith  Summey , 76.6sqmi  (198.5km2)97471 , 73.2sqmi  (189.6km2) , 3.5sqmi  (9.0km2) , 25ft  (6m) , UTC5  (EST) , UTC4  (EDT) ,www.northcharleston.org,,, 1393/sqmi  (538.0/km2) 
 258,Miami  Gardens,Florida,113069,107167,+5.51%,18.2sqmi;47.1km2,6212/sqmi;2398/km2,255656N  801437W  /  25.9489N  80.2436W  /  25.9489;  -80.2436  (Miami  Gardens) ,https://en.wikipedia.org/wiki/Miami_Gardens_Florida,Miami-Dade,, May  13  2003 ,Council-Manager, Oliver  G.  Gilbert  III , 19.02sqmi  (49.25km2)107167 , 18.24sqmi  (47.24km2) , 0.78sqmi  (2.02km2) , 7ft  (2m) , UTC-5  (EST) , UTC-4  (EDT) ,miamigardens-fl.gov,,, 6199.03/sqmi  (2393.45/km2) 
 259,Manchester,New  Hampshire,112525,109565,+2.70%,33.1sqmi;85.7km2,3339/sqmi;1289/km2,425906N  712639W  /  42.9849N  71.4441W  /  42.9849;  -71.4441  (Manchester) ,https://en.wikipedia.org/wiki/Manchester_New_Hampshire,Hillsborough,,,, Joyce  Craig  (D) , 35.0sqmi  (90.6km2)109565 , 33.1sqmi  (85.7km2) , 1.9sqmi  (4.8km2)  5.33% , 210ft  (64m) , UTC-5  (Eastern) , UTC-4  (Eastern) ,www.manchesternh.gov,,, 3338/sqmi  (1289.0/km2) 
